familia,implementacion,metodo_comun,operacion,escenario,n_anterior,n_actual,factor_n,mediana_anterior_ns,mediana_actual_ns,ratio_tiempo
queue,ColaArreglo,delete,delete,final,10,100,10.0,73.4,149.10000000000002,2.0313351498637604
queue,ColaArreglo,delete,delete,final,100,1000,10.0,149.10000000000002,1428.0,9.577464788732392
queue,ColaArreglo,delete,delete,final,1000,10000,10.0,1428.0,13627.5,9.543067226890756
queue,ColaArreglo,delete,delete,final,10000,100000,10.0,13627.5,129633.333333,9.512627652394057
queue,ListaSimpleConCola,delete,find+erase,final,10,100,10.0,73.45,219.8,2.9925119128658952
queue,ListaSimpleConCola,delete,find+erase,final,100,1000,10.0,219.8,3178.75,14.462010919017288
queue,ListaSimpleConCola,delete,find+erase,final,1000,10000,10.0,3178.75,26820.0,8.437278804561542
queue,ListaSimpleConCola,delete,find+erase,final,10000,100000,10.0,26820.0,280283.33333349996,10.450534427050707
queue,ColaArreglo,dequeue,dequeue,general,10,100,10.0,5.425000000000001,3.6,0.6635944700460829
queue,ColaArreglo,dequeue,dequeue,general,100,1000,10.0,3.6,10.475,2.909722222222222
queue,ColaArreglo,dequeue,dequeue,general,1000,10000,10.0,10.475,4.475,0.42720763723150357
queue,ColaArreglo,dequeue,dequeue,general,10000,100000,10.0,4.475,9.5702145,2.138595418994414
queue,ListaSimpleConCola,dequeue,popFront,general,10,100,10.0,4.2,9.55,2.2738095238095237
queue,ListaSimpleConCola,dequeue,popFront,general,100,1000,10.0,9.55,17.6,1.8429319371727748
queue,ListaSimpleConCola,dequeue,popFront,general,1000,10000,10.0,17.6,5.475,0.3110795454545454
queue,ListaSimpleConCola,dequeue,popFront,general,10000,100000,10.0,5.475,9.2203895,1.684089406392694
queue,ColaArreglo,enqueue,enqueue,general,10,100,10.0,10.5,3.95,0.3761904761904762
queue,ColaArreglo,enqueue,enqueue,general,100,1000,10.0,3.95,5.6,1.4177215189873416
queue,ColaArreglo,enqueue,enqueue,general,1000,10000,10.0,5.6,4.75,0.8482142857142858
queue,ColaArreglo,enqueue,enqueue,general,10000,100000,10.0,4.75,9.395302000000001,1.9779583157894738
queue,ListaSimpleConCola,enqueue,pushBack,general,10,100,10.0,12.274999999999999,9.7,0.790224032586558
queue,ListaSimpleConCola,enqueue,pushBack,general,100,1000,10.0,9.7,9.75,1.0051546391752577
queue,ListaSimpleConCola,enqueue,pushBack,general,1000,10000,10.0,9.75,5.8,0.5948717948717949
queue,ListaSimpleConCola,enqueue,pushBack,general,10000,100000,10.0,5.8,9.9950025,1.7232762931034484
queue,ColaArreglo,front,front,general,10,100,10.0,6.157942,2.7418389999999997,0.44525248857491667
queue,ColaArreglo,front,front,general,100,1000,10.0,2.7418389999999997,2.6,0.9482686620184484
queue,ColaArreglo,front,front,general,1000,10000,10.0,2.6,2.185,0.8403846153846154
queue,ColaArreglo,front,front,general,10000,100000,10.0,2.185,2.1325,0.9759725400457665
queue,ListaSimpleConCola,front,topFront,general,10,100,10.0,2.097432,2.137241,1.0189798763440245
queue,ListaSimpleConCola,front,topFront,general,100,1000,10.0,2.137241,2.295,1.0738143241684022
queue,ListaSimpleConCola,front,topFront,general,1000,10000,10.0,2.295,1.99,0.8671023965141612
queue,ListaSimpleConCola,front,topFront,general,10000,100000,10.0,1.99,1.9575,0.9836683417085428
queue,ColaArreglo,isEmpty,isEmpty,general,10,100,10.0,2.040207,3.3265325,1.6304877397244495
queue,ColaArreglo,isEmpty,isEmpty,general,100,1000,10.0,3.3265325,1.9925,0.5989720527305836
queue,ColaArreglo,isEmpty,isEmpty,general,1000,10000,10.0,1.9925,1.8775,0.9422835633626098
queue,ColaArreglo,isEmpty,isEmpty,general,10000,100000,10.0,1.8775,1.89,1.0066577896138482
queue,ListaSimpleConCola,isEmpty,isEmpty,general,10,100,10.0,3.6873009999999997,3.1797375,0.8623482324876651
queue,ListaSimpleConCola,isEmpty,isEmpty,general,100,1000,10.0,3.1797375,1.98,0.6226929109714245
queue,ListaSimpleConCola,isEmpty,isEmpty,general,1000,10000,10.0,1.98,1.885,0.952020202020202
queue,ListaSimpleConCola,isEmpty,isEmpty,general,10000,100000,10.0,1.885,1.935,1.026525198938992
queue,ColaArreglo,size,size,general,10,100,10.0,2.9782045000000004,3.20213,1.075188087319054
queue,ColaArreglo,size,size,general,100,1000,10.0,3.20213,1.875,0.5855477447823793
queue,ColaArreglo,size,size,general,1000,10000,10.0,1.875,1.7825,0.9506666666666667
queue,ColaArreglo,size,size,general,10000,100000,10.0,1.7825,1.7475,0.9803646563814867
queue,ListaSimpleConCola,size,size,general,10,100,10.0,2.055135,2.918491,1.4200969765976446
queue,ListaSimpleConCola,size,size,general,100,1000,10.0,2.918491,1.885,0.6458817244939251
queue,ListaSimpleConCola,size,size,general,1000,10000,10.0,1.885,1.81,0.960212201591512
queue,ListaSimpleConCola,size,size,general,10000,100000,10.0,1.81,1.7875,0.9875690607734807
stack,ListaSimpleSinCola,delete,find+erase,base,10,100,10.0,73.375,593.75,8.09199318568995
stack,ListaSimpleSinCola,delete,find+erase,base,100,1000,10.0,593.75,3345.5,5.634526315789474
stack,ListaSimpleSinCola,delete,find+erase,base,1000,10000,10.0,3345.5,29327.5,8.766253175907936
stack,ListaSimpleSinCola,delete,find+erase,base,10000,100000,10.0,29327.5,262216.6666665,8.940982581757735
stack,PilaArreglo,delete,delete,base,10,100,10.0,91.275,111.025,1.2163790742262395
stack,PilaArreglo,delete,delete,base,100,1000,10.0,111.025,1434.75,12.922765142985813
stack,PilaArreglo,delete,delete,base,1000,10000,10.0,1434.75,11252.5,7.842829761282453
stack,PilaArreglo,delete,delete,base,10000,100000,10.0,11252.5,107316.66666650001,9.537139894823373
stack,ListaSimpleSinCola,isEmpty,isEmpty,general,10,100,10.0,1.875995,1.975518,1.0530507810521883
stack,ListaSimpleSinCola,isEmpty,isEmpty,general,100,1000,10.0,1.975518,2.025,1.0250476077666717
stack,ListaSimpleSinCola,isEmpty,isEmpty,general,1000,10000,10.0,2.025,1.935,0.9555555555555556
stack,ListaSimpleSinCola,isEmpty,isEmpty,general,10000,100000,10.0,1.935,1.835,0.9483204134366925
stack,PilaArreglo,isEmpty,isEmpty,general,10,100,10.0,2.015326,1.980494,0.9827164438904673
stack,PilaArreglo,isEmpty,isEmpty,general,100,1000,10.0,1.980494,1.9925000000000002,1.0060621238943417
stack,PilaArreglo,isEmpty,isEmpty,general,1000,10000,10.0,1.9925000000000002,1.9325,0.9698870765370138
stack,PilaArreglo,isEmpty,isEmpty,general,10000,100000,10.0,1.9325,1.8175,0.9404915912031047
stack,ListaSimpleSinCola,peek,topFront,general,10,100,10.0,5.316978499999999,2.050159,0.3855872277835993
stack,ListaSimpleSinCola,peek,topFront,general,100,1000,10.0,2.050159,2.4425,1.1913710107362405
stack,ListaSimpleSinCola,peek,topFront,general,1000,10000,10.0,2.4425,2.065,0.8454452405322416
stack,ListaSimpleSinCola,peek,topFront,general,10000,100000,10.0,2.065,1.98,0.9588377723970944
stack,PilaArreglo,peek,peek,general,10,100,10.0,20.0189095,2.234275,0.11160822721137731
stack,PilaArreglo,peek,peek,general,100,1000,10.0,2.234275,2.58,1.154736995222164
stack,PilaArreglo,peek,peek,general,1000,10000,10.0,2.58,2.205,0.8546511627906976
stack,PilaArreglo,peek,peek,general,10000,100000,10.0,2.205,2.095,0.9501133786848073
stack,ListaSimpleSinCola,pop,popFront,general,10,100,10.0,8.075,16.975,2.102167182662539
stack,ListaSimpleSinCola,pop,popFront,general,100,1000,10.0,16.975,6.75,0.39764359351988215
stack,ListaSimpleSinCola,pop,popFront,general,1000,10000,10.0,6.75,4.1,0.6074074074074074
stack,ListaSimpleSinCola,pop,popFront,general,10000,100000,10.0,4.1,9.495252,2.3159151219512197
stack,PilaArreglo,pop,pop,general,10,100,10.0,6.875,4.75,0.6909090909090909
stack,PilaArreglo,pop,pop,general,100,1000,10.0,4.75,5.025,1.0578947368421054
stack,PilaArreglo,pop,pop,general,1000,10000,10.0,5.025,3.45,0.6865671641791045
stack,PilaArreglo,pop,pop,general,10000,100000,10.0,3.45,8.9205395,2.5856636231884056
stack,ListaSimpleSinCola,push,pushFront,general,10,100,10.0,35.525,15.649999999999999,0.44053483462350457
stack,ListaSimpleSinCola,push,pushFront,general,100,1000,10.0,15.649999999999999,7.35,0.4696485623003195
stack,ListaSimpleSinCola,push,pushFront,general,1000,10000,10.0,7.35,4.5,0.6122448979591837
stack,ListaSimpleSinCola,push,pushFront,general,10000,100000,10.0,4.5,9.595202,2.132267111111111
stack,PilaArreglo,push,push,general,10,100,10.0,10.325,4.375,0.42372881355932207
stack,PilaArreglo,push,push,general,100,1000,10.0,4.375,5.3,1.2114285714285713
stack,PilaArreglo,push,push,general,1000,10000,10.0,5.3,3.9,0.7358490566037736
stack,PilaArreglo,push,push,general,10000,100000,10.0,3.9,9.345327,2.3962376923076922
stack,ListaSimpleSinCola,size,size,general,10,100,10.0,21.593849499999997,1.9332205,0.08952644131376392
stack,ListaSimpleSinCola,size,size,general,100,1000,10.0,1.9332205,2.025,1.0474749259073137
stack,ListaSimpleSinCola,size,size,general,1000,10000,10.0,2.025,1.9725000000000001,0.9740740740740742
stack,ListaSimpleSinCola,size,size,general,10000,100000,10.0,1.9725000000000001,1.805,0.915082382762991
stack,PilaArreglo,size,size,general,10,100,10.0,20.854896,1.871019,0.0897160551651756
stack,PilaArreglo,size,size,general,100,1000,10.0,1.871019,1.9024999999999999,1.0168255907609702
stack,PilaArreglo,size,size,general,1000,10000,10.0,1.9024999999999999,1.8375,0.9658344283837057
stack,PilaArreglo,size,size,general,10000,100000,10.0,1.8375,1.7574999999999998,0.9564625850340136
