familia,implementacion,metodo_comun,operacion,escenario,semilla,n,k,repeticion,total_ns,ns_por_operacion,checksum
stack,ListaSimpleSinCola,push,pushFront,general,20260932,10,2000,1,59400,29.700000,-4294967296000
stack,ListaSimpleSinCola,push,pushFront,general,20260932,10,2000,2,93800,46.900000,-4294967296000
stack,ListaSimpleSinCola,push,pushFront,general,20260932,10,2000,3,61100,30.550000,-4294967296000
stack,ListaSimpleSinCola,push,pushFront,general,20260932,10,2000,4,69400,34.700000,-4294967296000
stack,ListaSimpleSinCola,push,pushFront,general,20260932,10,2000,5,74100,37.050000,-4294967296000
stack,ListaSimpleSinCola,push,pushFront,general,20260932,10,2000,6,69800,34.900000,-4294967296000
stack,ListaSimpleSinCola,push,pushFront,general,20260932,10,2000,7,73400,36.700000,-4294967296000
stack,ListaSimpleSinCola,push,pushFront,general,20260932,10,2000,8,72300,36.150000,-4294967296000
stack,ListaSimpleSinCola,push,pushFront,general,20260932,10,2000,9,66400,33.200000,-4294967296000
stack,ListaSimpleSinCola,push,pushFront,general,20260932,10,2000,10,75700,37.850000,-4294967296000
stack,PilaArreglo,push,push,general,20260932,10,2000,1,24600,12.300000,-4294967296000
stack,PilaArreglo,push,push,general,20260932,10,2000,2,31300,15.650000,-4294967296000
stack,PilaArreglo,push,push,general,20260932,10,2000,3,20600,10.300000,-4294967296000
stack,PilaArreglo,push,push,general,20260932,10,2000,4,17800,8.900000,-4294967296000
stack,PilaArreglo,push,push,general,20260932,10,2000,5,20700,10.350000,-4294967296000
stack,PilaArreglo,push,push,general,20260932,10,2000,6,20900,10.450000,-4294967296000
stack,PilaArreglo,push,push,general,20260932,10,2000,7,29100,14.550000,-4294967296000
stack,PilaArreglo,push,push,general,20260932,10,2000,8,10900,5.450000,-4294967296000
stack,PilaArreglo,push,push,general,20260932,10,2000,9,7700,3.850000,-4294967296000
stack,PilaArreglo,push,push,general,20260932,10,2000,10,10900,5.450000,-4294967296000
stack,ListaSimpleSinCola,pop,popFront,general,20260932,10,2000,1,27200,13.600000,8000
stack,ListaSimpleSinCola,pop,popFront,general,20260932,10,2000,2,11100,5.550000,8000
stack,ListaSimpleSinCola,pop,popFront,general,20260932,10,2000,3,15400,7.700000,8000
stack,ListaSimpleSinCola,pop,popFront,general,20260932,10,2000,4,10100,5.050000,8000
stack,ListaSimpleSinCola,pop,popFront,general,20260932,10,2000,5,11500,5.750000,8000
stack,ListaSimpleSinCola,pop,popFront,general,20260932,10,2000,6,14100,7.050000,8000
stack,ListaSimpleSinCola,pop,popFront,general,20260932,10,2000,7,18500,9.250000,8000
stack,ListaSimpleSinCola,pop,popFront,general,20260932,10,2000,8,20200,10.100000,8000
stack,ListaSimpleSinCola,pop,popFront,general,20260932,10,2000,9,16900,8.450000,8000
stack,ListaSimpleSinCola,pop,popFront,general,20260932,10,2000,10,17600,8.800000,8000
stack,PilaArreglo,pop,pop,general,20260932,10,2000,1,13000,6.500000,8000
stack,PilaArreglo,pop,pop,general,20260932,10,2000,2,13800,6.900000,8000
stack,PilaArreglo,pop,pop,general,20260932,10,2000,3,14000,7.000000,8000
stack,PilaArreglo,pop,pop,general,20260932,10,2000,4,13900,6.950000,8000
stack,PilaArreglo,pop,pop,general,20260932,10,2000,5,13800,6.900000,8000
stack,PilaArreglo,pop,pop,general,20260932,10,2000,6,12900,6.450000,8000
stack,PilaArreglo,pop,pop,general,20260932,10,2000,7,13300,6.650000,8000
stack,PilaArreglo,pop,pop,general,20260932,10,2000,8,13700,6.850000,8000
stack,PilaArreglo,pop,pop,general,20260932,10,2000,9,14600,7.300000,8000
stack,PilaArreglo,pop,pop,general,20260932,10,2000,10,13400,6.700000,8000
stack,ListaSimpleSinCola,peek,topFront,general,20260932,10,20096,1,123900,6.165406,40192
stack,ListaSimpleSinCola,peek,topFront,general,20260932,10,20096,2,128400,6.389331,40192
stack,ListaSimpleSinCola,peek,topFront,general,20260932,10,20096,3,108700,5.409037,40192
stack,ListaSimpleSinCola,peek,topFront,general,20260932,10,20096,4,106200,5.284634,40192
stack,ListaSimpleSinCola,peek,topFront,general,20260932,10,20096,5,106000,5.274682,40192
stack,ListaSimpleSinCola,peek,topFront,general,20260932,10,20096,6,105900,5.269705,40192
stack,ListaSimpleSinCola,peek,topFront,general,20260932,10,20096,7,105800,5.264729,40192
stack,ListaSimpleSinCola,peek,topFront,general,20260932,10,20096,8,107200,5.334395,40192
stack,ListaSimpleSinCola,peek,topFront,general,20260932,10,20096,9,110600,5.503583,40192
stack,ListaSimpleSinCola,peek,topFront,general,20260932,10,20096,10,106500,5.299562,40192
stack,PilaArreglo,peek,peek,general,20260932,10,20096,1,431700,21.481887,40192
stack,PilaArreglo,peek,peek,general,20260932,10,20096,2,400700,19.939291,40192
stack,PilaArreglo,peek,peek,general,20260932,10,20096,3,468800,23.328025,40192
stack,PilaArreglo,peek,peek,general,20260932,10,20096,4,402900,20.048766,40192
stack,PilaArreglo,peek,peek,general,20260932,10,20096,5,405400,20.173169,40192
stack,PilaArreglo,peek,peek,general,20260932,10,20096,6,403200,20.063694,40192
stack,PilaArreglo,peek,peek,general,20260932,10,20096,7,396900,19.750199,40192
stack,PilaArreglo,peek,peek,general,20260932,10,20096,8,400900,19.949244,40192
stack,PilaArreglo,peek,peek,general,20260932,10,20096,9,395800,19.695462,40192
