familia,implementacion,metodo_comun,operacion,escenario,semilla,n,k,observaciones,min_ns,q1_ns,mediana_ns,q3_ns,max_ns,iqr_ns,media_ns
queue,ColaArreglo,delete,delete,final,20260932,10,2000,10,40.4,46.6875,73.4,73.7125,90.55,27.025000000000006,64.42
queue,ColaArreglo,delete,delete,final,20261022,100,2000,10,130.9,132.65,149.10000000000002,173.875,179.95,41.224999999999994,153.22
queue,ColaArreglo,delete,delete,final,20261922,1000,200,10,1385.0,1407.875,1428.0,1478.0,1556.0,70.125,1447.1
queue,ColaArreglo,delete,delete,final,20270922,10000,20,10,13215.0,13341.25,13627.5,14017.5,15780.0,676.25,13834.0
queue,ColaArreglo,delete,delete,final,20360922,100000,3,10,125966.666667,126950.0,129633.333333,131033.33333299999,143600.0,4083.3333329999878,130616.6666666
queue,ListaSimpleConCola,delete,find+erase,final,20260932,10,2000,10,72.3,72.9,73.45,75.22500000000001,159.75,2.325000000000003,90.44500000000001
queue,ListaSimpleConCola,delete,find+erase,final,20261022,100,2000,10,208.1,211.4125,219.8,243.7375,318.05,32.32500000000002,238.38000000000002
queue,ListaSimpleConCola,delete,find+erase,final,20261922,1000,200,10,2724.5,3087.0,3178.75,3392.125,3481.5,305.125,3180.45
queue,ListaSimpleConCola,delete,find+erase,final,20270922,10000,20,10,24875.0,25555.0,26820.0,27506.25,29750.0,1951.25,26786.5
queue,ListaSimpleConCola,delete,find+erase,final,20360922,100000,3,10,251233.333333,266508.33333325,280283.33333349996,296341.66666675,552133.333333,29833.333333499962,304879.9999999
queue,ColaArreglo,dequeue,dequeue,general,20260932,10,2000,10,5.35,5.4,5.425000000000001,5.45,5.5,0.04999999999999982,5.425
queue,ColaArreglo,dequeue,dequeue,general,20261022,100,2000,10,3.3,3.5125,3.6,3.7125,4.8,0.19999999999999973,3.7049999999999996
queue,ColaArreglo,dequeue,dequeue,general,20261922,1000,2000,10,9.9,10.2,10.475,10.6625,12.0,0.46250000000000036,10.525
queue,ColaArreglo,dequeue,dequeue,general,20270922,10000,2000,10,4.0,4.2125,4.475,4.8374999999999995,5.0,0.6249999999999991,4.515
queue,ColaArreglo,dequeue,dequeue,general,20360922,100000,2001,10,8.995502,9.295352,9.5702145,9.7701145,10.694653,0.47476250000000064,9.645177200000001
queue,ListaSimpleConCola,dequeue,popFront,general,20260932,10,2000,10,3.2,3.5749999999999997,4.2,5.1875,8.35,1.6125000000000003,4.795
queue,ListaSimpleConCola,dequeue,popFront,general,20261022,100,2000,10,7.9,8.85,9.55,11.45,16.8,2.5999999999999996,10.545
queue,ListaSimpleConCola,dequeue,popFront,general,20261922,1000,2000,10,16.9,17.424999999999997,17.6,17.975,19.8,0.5500000000000043,17.84
queue,ListaSimpleConCola,dequeue,popFront,general,20270922,10000,2000,10,4.9,5.0625,5.475,5.7375,6.05,0.6749999999999998,5.4350000000000005
queue,ListaSimpleConCola,dequeue,popFront,general,20360922,100000,2001,10,8.945527,9.0704645,9.2203895,9.68265825,14.142929,0.6121937499999994,9.8550723
queue,ColaArreglo,enqueue,enqueue,general,20260932,10,2000,10,3.45,4.9624999999999995,10.5,10.7,14.1,5.7375,8.615
queue,ColaArreglo,enqueue,enqueue,general,20261022,100,2000,10,3.5,3.8,3.95,4.0874999999999995,7.1,0.28749999999999964,4.22
queue,ColaArreglo,enqueue,enqueue,general,20261922,1000,2000,10,5.35,5.5125,5.6,5.8374999999999995,6.1,0.3249999999999993,5.66
