implementacion,metodo,escenario,n_anterior,n_actual,factor_n,mediana_anterior_ns,mediana_actual_ns,ratio_tiempo
ListaDobleConCola,addAfter,final_nodo_prelocalizado,10,100,10.0,32.75,27.5,0.8396946564885496
ListaDobleConCola,addAfter,final_nodo_prelocalizado,100,1000,10.0,27.5,26.5,0.9636363636363636
ListaDobleConCola,addAfter,final_nodo_prelocalizado,1000,10000,10.0,26.5,20.0,0.7547169811320755
ListaDobleConCola,addAfter,final_nodo_prelocalizado,10000,100000,10.0,20.0,25.0,1.25
ListaDobleSinCola,addAfter,final_nodo_prelocalizado,10,100,10.0,31.75,26.0,0.8188976377952756
ListaDobleSinCola,addAfter,final_nodo_prelocalizado,100,1000,10.0,26.0,25.0,0.9615384615384616
ListaDobleSinCola,addAfter,final_nodo_prelocalizado,1000,10000,10.0,25.0,25.0,1.0
ListaDobleSinCola,addAfter,final_nodo_prelocalizado,10000,100000,10.0,25.0,30.0,1.2
ListaSimpleConCola,addAfter,final_nodo_prelocalizado,10,100,10.0,71.5,25.25,0.3531468531468531
ListaSimpleConCola,addAfter,final_nodo_prelocalizado,100,1000,10.0,25.25,27.0,1.0693069306930694
ListaSimpleConCola,addAfter,final_nodo_prelocalizado,1000,10000,10.0,27.0,27.5,1.0185185185185186
ListaSimpleConCola,addAfter,final_nodo_prelocalizado,10000,100000,10.0,27.5,32.5,1.1818181818181819
ListaSimpleSinCola,addAfter,final_nodo_prelocalizado,10,100,10.0,50.75,27.75,0.5467980295566502
ListaSimpleSinCola,addAfter,final_nodo_prelocalizado,100,1000,10.0,27.75,27.0,0.972972972972973
ListaSimpleSinCola,addAfter,final_nodo_prelocalizado,1000,10000,10.0,27.0,27.5,1.0185185185185186
ListaSimpleSinCola,addAfter,final_nodo_prelocalizado,10000,100000,10.0,27.5,35.0,1.2727272727272727
ListaDobleConCola,addAfter,inicio_nodo_prelocalizado,10,100,10.0,31.5,26.75,0.8492063492063492
ListaDobleConCola,addAfter,inicio_nodo_prelocalizado,100,1000,10.0,26.75,26.0,0.9719626168224299
ListaDobleConCola,addAfter,inicio_nodo_prelocalizado,1000,10000,10.0,26.0,47.5,1.8269230769230769
ListaDobleConCola,addAfter,inicio_nodo_prelocalizado,10000,100000,10.0,47.5,50.0,1.0526315789473684
ListaDobleSinCola,addAfter,inicio_nodo_prelocalizado,10,100,10.0,62.75,25.75,0.4103585657370518
ListaDobleSinCola,addAfter,inicio_nodo_prelocalizado,100,1000,10.0,25.75,23.0,0.8932038834951457
ListaDobleSinCola,addAfter,inicio_nodo_prelocalizado,1000,10000,10.0,23.0,0.0,0.0
ListaDobleSinCola,addAfter,inicio_nodo_prelocalizado,10000,100000,10.0,0.0,0.0,nan
ListaSimpleConCola,addAfter,inicio_nodo_prelocalizado,10,100,10.0,55.0,26.0,0.4727272727272727
ListaSimpleConCola,addAfter,inicio_nodo_prelocalizado,100,1000,10.0,26.0,18.0,0.6923076923076923
ListaSimpleConCola,addAfter,inicio_nodo_prelocalizado,1000,10000,10.0,18.0,12.5,0.6944444444444444
ListaSimpleConCola,addAfter,inicio_nodo_prelocalizado,10000,100000,10.0,12.5,25.0,2.0
ListaSimpleSinCola,addAfter,inicio_nodo_prelocalizado,10,100,10.0,53.75,26.75,0.49767441860465117
ListaSimpleSinCola,addAfter,inicio_nodo_prelocalizado,100,1000,10.0,26.75,27.0,1.0093457943925233
ListaSimpleSinCola,addAfter,inicio_nodo_prelocalizado,1000,10000,10.0,27.0,30.0,1.1111111111111112
ListaSimpleSinCola,addAfter,inicio_nodo_prelocalizado,10000,100000,10.0,30.0,22.5,0.75
ListaDobleConCola,addAfter,medio_nodo_prelocalizado,10,100,10.0,32.0,27.5,0.859375
ListaDobleConCola,addAfter,medio_nodo_prelocalizado,100,1000,10.0,27.5,24.5,0.8909090909090909
ListaDobleConCola,addAfter,medio_nodo_prelocalizado,1000,10000,10.0,24.5,27.5,1.1224489795918366
ListaDobleConCola,addAfter,medio_nodo_prelocalizado,10000,100000,10.0,27.5,27.5,1.0
ListaDobleSinCola,addAfter,medio_nodo_prelocalizado,10,100,10.0,34.5,27.0,0.782608695652174
ListaDobleSinCola,addAfter,medio_nodo_prelocalizado,100,1000,10.0,27.0,26.5,0.9814814814814815
ListaDobleSinCola,addAfter,medio_nodo_prelocalizado,1000,10000,10.0,26.5,27.5,1.0377358490566038
ListaDobleSinCola,addAfter,medio_nodo_prelocalizado,10000,100000,10.0,27.5,32.5,1.1818181818181819
ListaSimpleConCola,addAfter,medio_nodo_prelocalizado,10,100,10.0,64.75,24.25,0.3745173745173745
ListaSimpleConCola,addAfter,medio_nodo_prelocalizado,100,1000,10.0,24.25,26.5,1.092783505154639
ListaSimpleConCola,addAfter,medio_nodo_prelocalizado,1000,10000,10.0,26.5,15.0,0.5660377358490566
ListaSimpleConCola,addAfter,medio_nodo_prelocalizado,10000,100000,10.0,15.0,50.0,3.3333333333333335
ListaSimpleSinCola,addAfter,medio_nodo_prelocalizado,10,100,10.0,53.25,28.0,0.5258215962441315
ListaSimpleSinCola,addAfter,medio_nodo_prelocalizado,100,1000,10.0,28.0,23.5,0.8392857142857143
ListaSimpleSinCola,addAfter,medio_nodo_prelocalizado,1000,10000,10.0,23.5,20.0,0.851063829787234
