bloque,implementacion,metodo,escenario,semilla,n_inicial,n_final_objetivo,k,repeticion,capacidad,crecimiento,restauracion_fuera_reloj,total_ns,ns_por_operacion,checksum
listas,ListaSimpleSinCola,pushFront,general,20260931,10,11,2000,1,-1,NA,true,113500,56.750,-4294967296000
listas,ListaSimpleSinCola,pushFront,general,20260931,10,11,2000,2,-1,NA,true,113300,56.650,-4294967296000
listas,ListaSimpleSinCola,pushFront,general,20260931,10,11,2000,3,-1,NA,true,108800,54.400,-4294967296000
listas,ListaSimpleSinCola,pushFront,general,20260931,10,11,2000,4,-1,NA,true,94600,47.300,-4294967296000
listas,ListaSimpleSinCola,pushFront,general,20260931,10,11,2000,5,-1,NA,true,120100,60.050,-4294967296000
listas,ListaSimpleSinCola,pushFront,general,20260931,10,11,2000,6,-1,NA,true,89700,44.850,-4294967296000
listas,ListaSimpleSinCola,pushFront,general,20260931,10,11,2000,7,-1,NA,true,118200,59.100,-4294967296000
listas,ListaSimpleSinCola,pushFront,general,20260931,10,11,2000,8,-1,NA,true,100200,50.100,-4294967296000
listas,ListaSimpleSinCola,pushFront,general,20260931,10,11,2000,9,-1,NA,true,90100,45.050,-4294967296000
listas,ListaSimpleSinCola,pushFront,general,20260931,10,11,2000,10,-1,NA,true,97800,48.900,-4294967296000
listas,ListaSimpleSinCola,popFront,general,20260931,10,9,2000,1,-1,NA,true,95400,47.700,2000
listas,ListaSimpleSinCola,popFront,general,20260931,10,9,2000,2,-1,NA,true,87500,43.750,2000
listas,ListaSimpleSinCola,popFront,general,20260931,10,9,2000,3,-1,NA,true,87700,43.850,2000
listas,ListaSimpleSinCola,popFront,general,20260931,10,9,2000,4,-1,NA,true,86700,43.350,2000
listas,ListaSimpleSinCola,popFront,general,20260931,10,9,2000,5,-1,NA,true,91100,45.550,2000
listas,ListaSimpleSinCola,popFront,general,20260931,10,9,2000,6,-1,NA,true,87500,43.750,2000
listas,ListaSimpleSinCola,popFront,general,20260931,10,9,2000,7,-1,NA,true,91100,45.550,2000
listas,ListaSimpleSinCola,popFront,general,20260931,10,9,2000,8,-1,NA,true,86600,43.300,2000
listas,ListaSimpleSinCola,popFront,general,20260931,10,9,2000,9,-1,NA,true,90000,45.000,2000
listas,ListaSimpleSinCola,popFront,general,20260931,10,9,2000,10,-1,NA,true,103700,51.850,2000
listas,ListaSimpleSinCola,topFront,general,20260931,10,10,2000,1,-1,NA,true,63700,31.850,2000
listas,ListaSimpleSinCola,topFront,general,20260931,10,10,2000,2,-1,NA,true,62700,31.350,2000
listas,ListaSimpleSinCola,topFront,general,20260931,10,10,2000,3,-1,NA,true,65500,32.750,2000
listas,ListaSimpleSinCola,topFront,general,20260931,10,10,2000,4,-1,NA,true,55900,27.950,2000
listas,ListaSimpleSinCola,topFront,general,20260931,10,10,2000,5,-1,NA,true,39500,19.750,2000
listas,ListaSimpleSinCola,topFront,general,20260931,10,10,2000,6,-1,NA,true,42000,21.000,2000
listas,ListaSimpleSinCola,topFront,general,20260931,10,10,2000,7,-1,NA,true,41600,20.800,2000
listas,ListaSimpleSinCola,topFront,general,20260931,10,10,2000,8,-1,NA,true,41600,20.800,2000
listas,ListaSimpleSinCola,topFront,general,20260931,10,10,2000,9,-1,NA,true,43400,21.700,2000
listas,ListaSimpleSinCola,topFront,general,20260931,10,10,2000,10,-1,NA,true,43900,21.950,2000
listas,ListaSimpleSinCola,size,no_vacia,20260931,10,10,2000,1,-1,NA,true,48800,24.400,20000
listas,ListaSimpleSinCola,size,no_vacia,20260931,10,10,2000,2,-1,NA,true,46400,23.200,20000
listas,ListaSimpleSinCola,size,no_vacia,20260931,10,10,2000,3,-1,NA,true,52000,26.000,20000
listas,ListaSimpleSinCola,size,no_vacia,20260931,10,10,2000,4,-1,NA,true,43700,21.850,20000
listas,ListaSimpleSinCola,size,no_vacia,20260931,10,10,2000,5,-1,NA,true,44800,22.400,20000
listas,ListaSimpleSinCola,size,no_vacia,20260931,10,10,2000,6,-1,NA,true,43600,21.800,20000
listas,ListaSimpleSinCola,size,no_vacia,20260931,10,10,2000,7,-1,NA,true,43800,21.900,20000
listas,ListaSimpleSinCola,size,no_vacia,20260931,10,10,2000,8,-1,NA,true,46300,23.150,20000
listas,ListaSimpleSinCola,size,no_vacia,20260931,10,10,2000,9,-1,NA,true,45700,22.850,20000
listas,ListaSimpleSinCola,size,no_vacia,20260931,10,10,2000,10,-1,NA,true,44100,22.050,20000
listas,ListaSimpleSinCola,isEmpty,no_vacia,20260931,10,10,2000,1,-1,NA,true,71300,35.650,0
listas,ListaSimpleSinCola,isEmpty,no_vacia,20260931,10,10,2000,2,-1,NA,true,55700,27.850,0
listas,ListaSimpleSinCola,isEmpty,no_vacia,20260931,10,10,2000,3,-1,NA,true,47200,23.600,0
listas,ListaSimpleSinCola,isEmpty,no_vacia,20260931,10,10,2000,4,-1,NA,true,47100,23.550,0
listas,ListaSimpleSinCola,isEmpty,no_vacia,20260931,10,10,2000,5,-1,NA,true,49700,24.850,0
listas,ListaSimpleSinCola,isEmpty,no_vacia,20260931,10,10,2000,6,-1,NA,true,48300,24.150,0
listas,ListaSimpleSinCola,isEmpty,no_vacia,20260931,10,10,2000,7,-1,NA,true,47300,23.650,0
listas,ListaSimpleSinCola,isEmpty,no_vacia,20260931,10,10,2000,8,-1,NA,true,46100,23.050,0
listas,ListaSimpleSinCola,isEmpty,no_vacia,20260931,10,10,2000,9,-1,NA,true,48200,24.100,0
listas,ListaSimpleSinCola,isEmpty,no_vacia,20260931,10,10,2000,10,-1,NA,true,46200,23.100,0
listas,ListaSimpleSinCola,pushBack,general,20260931,10,11,200,1,-1,NA,true,41200,206.000,-429496729600
listas,ListaSimpleSinCola,pushBack,general,20260931,10,11,200,2,-1,NA,true,47500,237.500,-429496729600
listas,ListaSimpleSinCola,pushBack,general,20260931,10,11,200,3,-1,NA,true,58400,292.000,-429496729600
listas,ListaSimpleSinCola,pushBack,general,20260931,10,11,200,4,-1,NA,true,31100,155.500,-429496729600
listas,ListaSimpleSinCola,pushBack,general,20260931,10,11,200,5,-1,NA,true,20500,102.500,-429496729600
listas,ListaSimpleSinCola,pushBack,general,20260931,10,11,200,6,-1,NA,true,12000,60.000,-429496729600
listas,ListaSimpleSinCola,pushBack,general,20260931,10,11,200,7,-1,NA,true,17800,89.000,-429496729600
listas,ListaSimpleSinCola,pushBack,general,20260931,10,11,200,8,-1,NA,true,16900,84.500,-429496729600
listas,ListaSimpleSinCola,pushBack,general,20260931,10,11,200,9,-1,NA,true,14200,71.000,-429496729600
listas,ListaSimpleSinCola,pushBack,general,20260931,10,11,200,10,-1,NA,true,20700,103.500,-429496729600
listas,ListaSimpleSinCola,popBack,general,20260931,10,9,200,1,-1,NA,true,10600,53.000,1000
listas,ListaSimpleSinCola,popBack,general,20260931,10,9,200,2,-1,NA,true,11600,58.000,1000
listas,ListaSimpleSinCola,popBack,general,20260931,10,9,200,3,-1,NA,true,11700,58.500,1000
listas,ListaSimpleSinCola,popBack,general,20260931,10,9,200,4,-1,NA,true,11400,57.000,1000
listas,ListaSimpleSinCola,popBack,general,20260931,10,9,200,5,-1,NA,true,11200,56.000,1000
listas,ListaSimpleSinCola,popBack,general,20260931,10,9,200,6,-1,NA,true,10800,54.000,1000
listas,ListaSimpleSinCola,popBack,general,20260931,10,9,200,7,-1,NA,true,11700,58.500,1000
listas,ListaSimpleSinCola,popBack,general,20260931,10,9,200,8,-1,NA,true,11200,56.000,1000
listas,ListaSimpleSinCola,popBack,general,20260931,10,9,200,9,-1,NA,true,13100,65.500,1000
listas,ListaSimpleSinCola,popBack,general,20260931,10,9,200,10,-1,NA,true,12100,60.500,1000
listas,ListaSimpleSinCola,topBack,general,20260931,10,10,200,1,-1,NA,true,27900,139.500,1000
listas,ListaSimpleSinCola,topBack,general,20260931,10,10,200,2,-1,NA,true,8000,40.000,1000
listas,ListaSimpleSinCola,topBack,general,20260931,10,10,200,3,-1,NA,true,6000,30.000,1000
