bloque,implementacion,metodo,escenario,semilla,n_inicial,k,observaciones,min_ns,q1_ns,mediana_ns,q3_ns,max_ns,iqr_ns,media_ns
listas,ListaDobleConCola,addAfter,final_nodo_prelocalizado,20260931,10,200,10,27.5,31.5,32.75,33.875,49.5,2.375,34.65
listas,ListaDobleConCola,addAfter,final_nodo_prelocalizado,20261021,100,200,10,24.0,25.5,27.5,28.5,30.0,3.0,27.15
listas,ListaDobleConCola,addAfter,final_nodo_prelocalizado,20261921,1000,100,10,19.0,21.5,26.5,28.0,37.0,6.5,25.8
listas,ListaDobleConCola,addAfter,final_nodo_prelocalizado,20270921,10000,20,10,10.0,20.0,20.0,25.0,35.0,5.0,21.5
listas,ListaDobleConCola,addAfter,final_nodo_prelocalizado,20360921,100000,20,10,15.0,20.0,25.0,37.5,75.0,17.5,31.0
listas,ListaDobleSinCola,addAfter,final_nodo_prelocalizado,20260931,10,200,10,29.5,30.625,31.75,32.5,43.5,1.875,32.9
listas,ListaDobleSinCola,addAfter,final_nodo_prelocalizado,20261021,100,200,10,23.0,24.25,26.0,26.375,38.5,2.125,26.6
listas,ListaDobleSinCola,addAfter,final_nodo_prelocalizado,20261921,1000,100,10,17.0,22.25,25.0,26.0,30.0,3.75,23.8
listas,ListaDobleSinCola,addAfter,final_nodo_prelocalizado,20270921,10000,20,10,10.0,21.25,25.0,30.0,35.0,8.75,25.5
listas,ListaDobleSinCola,addAfter,final_nodo_prelocalizado,20360921,100000,20,10,15.0,20.0,30.0,40.0,50.0,20.0,31.0
listas,ListaSimpleConCola,addAfter,final_nodo_prelocalizado,20260931,10,200,10,53.5,66.375,71.5,89.75,105.5,23.375,76.65
listas,ListaSimpleConCola,addAfter,final_nodo_prelocalizado,20261021,100,200,10,24.0,25.0,25.25,26.0,26.5,1.0,25.45
listas,ListaSimpleConCola,addAfter,final_nodo_prelocalizado,20261921,1000,100,10,20.0,23.75,27.0,29.0,73.0,5.25,32.7
listas,ListaSimpleConCola,addAfter,final_nodo_prelocalizado,20270921,10000,20,10,15.0,21.25,27.5,30.0,40.0,8.75,26.5
listas,ListaSimpleConCola,addAfter,final_nodo_prelocalizado,20360921,100000,20,10,20.0,26.25,32.5,38.75,60.0,12.5,34.5
listas,ListaSimpleSinCola,addAfter,final_nodo_prelocalizado,20260931,10,200,10,49.0,50.0,50.75,51.875,65.0,1.875,52.5
listas,ListaSimpleSinCola,addAfter,final_nodo_prelocalizado,20261021,100,200,10,21.5,22.625,27.75,36.375,50.0,13.75,30.6
