bloque,implementacion,metodo,escenario,n_anterior,n_actual,factor_n,mediana_anterior_ns,mediana_actual_ns,ratio_tiempo
colas,ColaArreglo,delete,ausente,10,100,10.0,40.375,122.2,3.026625386996904
colas,ColaArreglo,delete,ausente,100,1000,10.0,122.2,1465.75,11.99468085106383
colas,ColaArreglo,delete,ausente,1000,10000,10.0,1465.75,13225.0,9.02268463244073
colas,ColaArreglo,delete,ausente,10000,100000,10.0,13225.0,129033.333,9.756773761814745
colas,ColaEnlazada,delete,ausente,10,100,10.0,57.675,115.85,2.008669267446901
colas,ColaEnlazada,delete,ausente,100,1000,10.0,115.85,1679.75,14.49935261113509
colas,ColaEnlazada,delete,ausente,1000,10000,10.0,1679.75,15365.0,9.147194522994493
colas,ColaEnlazada,delete,ausente,10000,100000,10.0,15365.0,172500.0,11.226814188089815
colas,ColaArreglo,delete,final,10,100,10.0,15.275,122.875,8.044189852700491
colas,ColaArreglo,delete,final,100,1000,10.0,122.875,1455.75,11.847405900305189
colas,ColaArreglo,delete,final,1000,10000,10.0,1455.75,12915.0,8.871715610510046
colas,ColaArreglo,delete,final,10000,100000,10.0,12915.0,129566.66649999999,10.032262214479287
colas,ColaEnlazada,delete,final,10,100,10.0,60.375,199.225,3.2997929606625256
colas,ColaEnlazada,delete,final,100,1000,10.0,199.225,2680.0,13.452126992094366
colas,ColaEnlazada,delete,final,1000,10000,10.0,2680.0,28172.5,10.512126865671641
colas,ColaEnlazada,delete,final,10000,100000,10.0,28172.5,289650.0,10.281302688792263
colas,ColaArreglo,delete,frente,10,100,10.0,81.35,261.6,3.2157344806392136
colas,ColaArreglo,delete,frente,100,1000,10.0,261.6,2981.0,11.395259938837919
colas,ColaArreglo,delete,frente,1000,10000,10.0,2981.0,28287.5,9.489265347198927
colas,ColaArreglo,delete,frente,10000,100000,10.0,28287.5,261466.6665,9.243187503314184
colas,ColaEnlazada,delete,frente,10,100,10.0,40.25,31.849999999999998,0.7913043478260869
colas,ColaEnlazada,delete,frente,100,1000,10.0,31.849999999999998,16.5,0.5180533751962324
colas,ColaEnlazada,delete,frente,1000,10000,10.0,16.5,30.0,1.8181818181818181
colas,ColaEnlazada,delete,frente,10000,100000,10.0,30.0,66.667,2.2222333333333335
