bloque,implementacion,metodo,escenario,semilla,n_inicial,n_final,k,repeticion,capacidad_antes,capacidad_despues,crecimiento,total_ns,ns_por_operacion,checksum
pilas,PilaEnlazada,push,sin_redimensionamiento,20260932,10,11,2000,1,-1,-1,NA,90000,45.000,-4294967296000
pilas,PilaEnlazada,push,sin_redimensionamiento,20260932,10,11,2000,2,-1,-1,NA,114300,57.150,-4294967296000
pilas,PilaEnlazada,push,sin_redimensionamiento,20260932,10,11,2000,3,-1,-1,NA,100200,50.100,-4294967296000
pilas,PilaEnlazada,push,sin_redimensionamiento,20260932,10,11,2000,4,-1,-1,NA,98500,49.250,-4294967296000
pilas,PilaEnlazada,push,sin_redimensionamiento,20260932,10,11,2000,5,-1,-1,NA,93000,46.500,-4294967296000
pilas,PilaEnlazada,push,sin_redimensionamiento,20260932,10,11,2000,6,-1,-1,NA,113900,56.950,-4294967296000
pilas,PilaEnlazada,push,sin_redimensionamiento,20260932,10,11,2000,7,-1,-1,NA,100300,50.150,-4294967296000
pilas,PilaEnlazada,push,sin_redimensionamiento,20260932,10,11,2000,8,-1,-1,NA,101000,50.500,-4294967296000
pilas,PilaEnlazada,push,sin_redimensionamiento,20260932,10,11,2000,9,-1,-1,NA,75200,37.600,-4294967296000
pilas,PilaEnlazada,push,sin_redimensionamiento,20260932,10,11,2000,10,-1,-1,NA,73000,36.500,-4294967296000
pilas,PilaEnlazada,push,secuencia_amortizada,20260932,0,10,10,1,-1,-1,NA,500,50.000,12
pilas,PilaEnlazada,push,secuencia_amortizada,20260932,0,10,10,2,-1,-1,NA,600,60.000,12
pilas,PilaEnlazada,push,secuencia_amortizada,20260932,0,10,10,3,-1,-1,NA,700,70.000,12
pilas,PilaEnlazada,push,secuencia_amortizada,20260932,0,10,10,4,-1,-1,NA,600,60.000,12
pilas,PilaEnlazada,push,secuencia_amortizada,20260932,0,10,10,5,-1,-1,NA,600,60.000,12
pilas,PilaEnlazada,push,secuencia_amortizada,20260932,0,10,10,6,-1,-1,NA,600,60.000,12
pilas,PilaEnlazada,push,secuencia_amortizada,20260932,0,10,10,7,-1,-1,NA,900,90.000,12
pilas,PilaEnlazada,push,secuencia_amortizada,20260932,0,10,10,8,-1,-1,NA,700,70.000,12
pilas,PilaEnlazada,push,secuencia_amortizada,20260932,0,10,10,9,-1,-1,NA,600,60.000,12
pilas,PilaEnlazada,push,secuencia_amortizada,20260932,0,10,10,10,-1,-1,NA,700,70.000,12
pilas,PilaEnlazada,pop,general,20260932,10,9,2000,1,-1,-1,false,779500,389.750,4000
pilas,PilaEnlazada,pop,general,20260932,10,9,2000,2,-1,-1,false,776400,388.200,4000
pilas,PilaEnlazada,pop,general,20260932,10,9,2000,3,-1,-1,false,770100,385.050,4000
pilas,PilaEnlazada,pop,general,20260932,10,9,2000,4,-1,-1,false,837400,418.700,4000
pilas,PilaEnlazada,pop,general,20260932,10,9,2000,5,-1,-1,false,538300,269.150,4000
pilas,PilaEnlazada,pop,general,20260932,10,9,2000,6,-1,-1,false,72300,36.150,4000
pilas,PilaEnlazada,pop,general,20260932,10,9,2000,7,-1,-1,false,77200,38.600,4000
pilas,PilaEnlazada,pop,general,20260932,10,9,2000,8,-1,-1,false,78100,39.050,4000
pilas,PilaEnlazada,pop,general,20260932,10,9,2000,9,-1,-1,false,77600,38.800,4000
pilas,PilaEnlazada,pop,general,20260932,10,9,2000,10,-1,-1,false,78000,39.000,4000
pilas,PilaEnlazada,peek,general,20260932,10,10,50000,1,-1,-1,false,282100,5.642,100000
pilas,PilaEnlazada,peek,general,20260932,10,10,50000,2,-1,-1,false,331800,6.636,100000
pilas,PilaEnlazada,peek,general,20260932,10,10,50000,3,-1,-1,false,342900,6.858,100000
pilas,PilaEnlazada,peek,general,20260932,10,10,50000,4,-1,-1,false,364700,7.294,100000
pilas,PilaEnlazada,peek,general,20260932,10,10,50000,5,-1,-1,false,344900,6.898,100000
pilas,PilaEnlazada,peek,general,20260932,10,10,50000,6,-1,-1,false,338800,6.776,100000
pilas,PilaEnlazada,peek,general,20260932,10,10,50000,7,-1,-1,false,336400,6.728,100000
pilas,PilaEnlazada,peek,general,20260932,10,10,50000,8,-1,-1,false,343300,6.866,100000
pilas,PilaEnlazada,peek,general,20260932,10,10,50000,9,-1,-1,false,337700,6.754,100000
pilas,PilaEnlazada,peek,general,20260932,10,10,50000,10,-1,-1,false,338000,6.760,100000
pilas,PilaEnlazada,size,no_vacia,20260932,10,10,50000,1,-1,-1,false,219900,4.398,500000
pilas,PilaEnlazada,size,no_vacia,20260932,10,10,50000,2,-1,-1,false,211800,4.236,500000
pilas,PilaEnlazada,size,no_vacia,20260932,10,10,50000,3,-1,-1,false,204600,4.092,500000
pilas,PilaEnlazada,size,no_vacia,20260932,10,10,50000,4,-1,-1,false,211200,4.224,500000
pilas,PilaEnlazada,size,no_vacia,20260932,10,10,50000,5,-1,-1,false,198400,3.968,500000
pilas,PilaEnlazada,size,no_vacia,20260932,10,10,50000,6,-1,-1,false,183500,3.670,500000
pilas,PilaEnlazada,size,no_vacia,20260932,10,10,50000,7,-1,-1,false,192700,3.854,500000
pilas,PilaEnlazada,size,no_vacia,20260932,10,10,50000,8,-1,-1,false,222200,4.444,500000
pilas,PilaEnlazada,size,no_vacia,20260932,10,10,50000,9,-1,-1,false,221400,4.428,500000
pilas,PilaEnlazada,size,no_vacia,20260932,10,10,50000,10,-1,-1,false,220100,4.402,500000
pilas,PilaEnlazada,isEmpty,no_vacia,20260932,10,10,50000,1,-1,-1,false,138700,2.774,0
pilas,PilaEnlazada,isEmpty,no_vacia,20260932,10,10,50000,2,-1,-1,false,146200,2.924,0
pilas,PilaEnlazada,isEmpty,no_vacia,20260932,10,10,50000,3,-1,-1,false,138300,2.766,0
pilas,PilaEnlazada,isEmpty,no_vacia,20260932,10,10,50000,4,-1,-1,false,138300,2.766,0
pilas,PilaEnlazada,isEmpty,no_vacia,20260932,10,10,50000,5,-1,-1,false,138200,2.764,0
pilas,PilaEnlazada,isEmpty,no_vacia,20260932,10,10,50000,6,-1,-1,false,138200,2.764,0
pilas,PilaEnlazada,isEmpty,no_vacia,20260932,10,10,50000,7,-1,-1,false,138300,2.766,0
pilas,PilaEnlazada,isEmpty,no_vacia,20260932,10,10,50000,8,-1,-1,false,141800,2.836,0
pilas,PilaEnlazada,isEmpty,no_vacia,20260932,10,10,50000,9,-1,-1,false,138300,2.766,0
pilas,PilaEnlazada,isEmpty,no_vacia,20260932,10,10,50000,10,-1,-1,false,179600,3.592,0
pilas,PilaEnlazada,delete,cima,20260932,10,9,2000,1,-1,-1,false,150300,75.150,2000
pilas,PilaEnlazada,delete,cima,20260932,10,9,2000,2,-1,-1,false,155200,77.600,2000
pilas,PilaEnlazada,delete,cima,20260932,10,9,2000,3,-1,-1,false,160200,80.100,2000
pilas,PilaEnlazada,delete,cima,20260932,10,9,2000,4,-1,-1,false,155400,77.700,2000
pilas,PilaEnlazada,delete,cima,20260932,10,9,2000,5,-1,-1,false,156600,78.300,2000
pilas,PilaEnlazada,delete,cima,20260932,10,9,2000,6,-1,-1,false,157300,78.650,2000
pilas,PilaEnlazada,delete,cima,20260932,10,9,2000,7,-1,-1,false,147900,73.950,2000
pilas,PilaEnlazada,delete,cima,20260932,10,9,2000,8,-1,-1,false,98200,49.100,2000
pilas,PilaEnlazada,delete,cima,20260932,10,9,2000,9,-1,-1,false,98400,49.200,2000
pilas,PilaEnlazada,delete,cima,20260932,10,9,2000,10,-1,-1,false,121900,60.950,2000
pilas,PilaEnlazada,delete,medio,20260932,10,9,2000,1,-1,-1,false,138900,69.450,2000
pilas,PilaEnlazada,delete,medio,20260932,10,9,2000,2,-1,-1,false,145400,72.700,2000
pilas,PilaEnlazada,delete,medio,20260932,10,9,2000,3,-1,-1,false,275300,137.650,2000
pilas,PilaEnlazada,delete,medio,20260932,10,9,2000,4,-1,-1,false,244900,122.450,2000
pilas,PilaEnlazada,delete,medio,20260932,10,9,2000,5,-1,-1,false,142700,71.350,2000
pilas,PilaEnlazada,delete,medio,20260932,10,9,2000,6,-1,-1,false,139400,69.700,2000
pilas,PilaEnlazada,delete,medio,20260932,10,9,2000,7,-1,-1,false,137600,68.800,2000
pilas,PilaEnlazada,delete,medio,20260932,10,9,2000,8,-1,-1,false,134400,67.200,2000
pilas,PilaEnlazada,delete,medio,20260932,10,9,2000,9,-1,-1,false,127500,63.750,2000
pilas,PilaEnlazada,delete,medio,20260932,10,9,2000,10,-1,-1,false,97900,48.950,2000
