bloque,implementacion,metodo,escenario,semilla,n_inicial,n_final,k,capacidad_antes,capacidad_despues,crecimiento,n_efectivo,observaciones,min_ns,q1_ns,mediana_ns,q3_ns,max_ns,iqr_ns,media_ns
colas,ColaArreglo,delete,ausente,20260932,10,10,2000,10,10,false,10,10,40.05,40.1625,40.375,41.675,45.45,1.5124999999999957,41.14
colas,ColaArreglo,delete,ausente,20261022,100,100,2000,100,100,false,100,10,122.05,122.125,122.2,123.6125,130.95,1.4874999999999972,123.48499999999999
colas,ColaArreglo,delete,ausente,20261922,1000,1000,200,1000,1000,false,1000,10,1360.0,1399.25,1465.75,1517.0,1599.0,117.75,1470.15
colas,ColaArreglo,delete,ausente,20270922,10000,10000,20,10000,10000,false,10000,10,12730.0,13011.25,13225.0,13513.75,13665.0,502.5,13238.0
colas,ColaArreglo,delete,ausente,20360922,100000,100000,3,100000,100000,false,100000,10,126666.667,127450.00025,129033.333,129699.99975,130600.0,2249.9995000000054,128759.99990000001
colas,ColaEnlazada,delete,ausente,20260932,10,10,2000,-1,-1,false,10,10,57.2,57.5625,57.675,57.8625,60.0,0.29999999999999716,57.885000000000005
colas,ColaEnlazada,delete,ausente,20261022,100,100,2000,-1,-1,false,100,10,104.2,110.3125,115.85,149.2125,191.9,38.900000000000006,130.05
colas,ColaEnlazada,delete,ausente,20261922,1000,1000,200,-1,-1,false,1000,10,1323.0,1430.5,1679.75,1843.375,2299.5,412.875,1692.4
colas,ColaEnlazada,delete,ausente,20270922,10000,10000,20,-1,-1,false,10000,10,13150.0,14672.5,15365.0,16682.5,22165.0,2010.0,16191.0
colas,ColaEnlazada,delete,ausente,20360922,100000,100000,3,-1,-1,false,100000,10,165000.0,166750.00024999998,172500.0,180475.00024999998,192766.667,13725.0,174986.6667
colas,ColaArreglo,delete,final,20260932,10,9,2000,10,10,false,10,10,14.55,14.575000000000001,15.275,19.125,20.8,4.549999999999999,16.625
colas,ColaArreglo,delete,final,20261022,100,99,2000,100,100,false,100,10,122.8,122.8125,122.875,123.925,149.8,1.1124999999999972,125.85
colas,ColaArreglo,delete,final,20261922,1000,999,200,1000,1000,false,1000,10,1384.5,1410.375,1455.75,1539.125,1853.0,128.75,1505.75
colas,ColaArreglo,delete,final,20270922,10000,9999,20,10000,10000,false,10000,10,12695.0,12818.75,12915.0,13218.75,13370.0,400.0,13001.0
colas,ColaArreglo,delete,final,20360922,100000,99999,3,100000,100000,false,100000,10,125733.333,126883.33350000001,129566.66649999999,131483.33349999998,142566.667,4599.999999999971,130499.99990000001
colas,ColaEnlazada,delete,final,20260932,10,9,2000,-1,-1,false,10,10,47.3,48.5625,60.375,158.1625,175.8,109.6,96.45
